,Word,Vocabulary,Definition
923,te,"tu, tui, tibi, te, te",you (singular)
926,te,"tu, tui, tibi, te, te",you (singular)
927,nostrae,"noster, -stra, -strum","our, our own, ours, of us"
931,pharetrae,"pharetra, -ae (f.)",a quiver
933,tu,"tu, tui, tibi, te, te",you (singular)
934,ducibus,"dux, ducis (m.)","a leader, conductor, guide"
936,aderis,"adsum (assum), adesse, adfui","to be at, be present, be at hand"
938,cum,cum,"when, while, since, although"
939,cum,cum,"(with abl.) with, together, along with"
940,laeta,"laetus, -a, -um","happy, joyful, cheerful, glad, delighted, full of 
joy"
943,vox,"vox, vocis (f.)","a voice, sound, tone, utterance, cry, call"
945,et,et,"and; also, too, besides, likewise, as well, even"
947,longas,"longus, -a, -um","long, extended"
949,pompas,"pompa, -ae (f.)",a procession; retinue; pomp
953,eadem,"idem, eadem, idem",the same
955,custos,"custos, -odis (m.)","a guard, sentry, protector; doorkeeper, 
watchman"
956,ante,ante,"(with acc.) (of space) before, in front, forwards; 
(of time) before, previously"
958,stabis,"sto, -are, steti, statum","to stand, stand still, remain standing, be 
upright, be erect"
964,meum,"meus, -a, -um","of me, my, mine, belonging to me, my own"
966,caput,"caput, -itis (n.)",the head
967,est,"sum, esse, fui",to be
971,tu,"tu, tui, tibi, te, te",you (singular)
972,quoque,quoque,"also, too"
974,semper,semper,"ever, always, at all times, continually, 
perpetually, forever"
975,gere,"gero, -ere, gessi, gestum","to bear about, bear, carry, wear, have, hold, 
sustain"
977,honores,"honor (honos), -oris (m.)","honor, repute, esteem, reputation, praise, 
distinction"
983,factis,"facio, -ere, feci, factum","to make, build, produce, compose; do, 
perform, make"
984,modo,"modus, -i (m.)","a measure, extent, quantity; a manner, way, 
mode"
989,caput,"caput, -itis (n.)",the head
991,est,"sum, esse, fui",to be
